Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Digi-Key],SKU [Digi-Key],Packaging [Digi-Key],Unit Price (@ Batch Size: 1) [Digi-Key],Line Total [Digi-Key],Batch Total [Digi-Key],In Stock [Digi-Key],MOQ [Digi-Key],URL [Digi-Key],Notes
,,,,,,,,,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,Digi-Key,Farnell,RS Components,TME,,,,,,,,,,
1,TEFT4300,Vishay,TEFT4300,https://octopart.com/teft4300-vishay-39729854,Q4,,RX-R,1,751-1041-ND,5390709,,TEFT4300,Bulk,,,,0.60997094,663,,,6377,5590,,6,1,1,,2,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00aa4b4&sid=819&ppid=39729854&vpid=255979119&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f1defe&sid=1532&ppid=39729854&vpid=347806903&ct=offers,Digi-Key,751-1041-ND,Bulk,0.60997094,0.60997094,0.60997094,6377,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,
2,TEFT4300,Vishay,TEFT4300,https://octopart.com/teft4300-vishay-39729854,Q1 Q2,,RX-LD,2,751-1041-ND,5390709,,TEFT4300,Bulk,,,,0.60997094,663,,0.2327339826,6377,5590,,6,1,1,,2,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00aa4b4&sid=819&ppid=39729854&vpid=255979119&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f1defe&sid=1532&ppid=39729854&vpid=347806903&ct=offers,Digi-Key,751-1041-ND,Bulk,0.60997094,1.21994188,1.21994188,6377,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,
1,TEFT4300,Vishay,TEFT4300,https://octopart.com/teft4300-vishay-39729854,Q5,,FLASH,1,751-1041-ND,5390709,,TEFT4300,Bulk,,,,0.60997094,663,,,6377,5590,,6,1,1,,2,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00aa4b4&sid=819&ppid=39729854&vpid=255979119&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f1defe&sid=1532&ppid=39729854&vpid=347806903&ct=offers,Digi-Key,751-1041-ND,Bulk,0.60997094,0.60997094,0.60997094,6377,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a09a97&sid=459&ppid=39729854&vpid=159804322&ct=offers,
5,RC0603FR-071K8L,Yageo,RC0603FR-071K8L,https://octopart.com/rc0603fr-071k8l-yageo-40952851,R24 R29 R22 R23 R30,,1k8 1%,5,311-1.80KHRCT-ND,9238514,,,Cut Tape,,,,0.08591140000000001,,,,669595,35810,,,1,10,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00738d6&sid=459&ppid=40952851&vpid=114982867&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d9d193&sid=819&ppid=40952851&vpid=148351458&ct=offers,,,Digi-Key,311-1.80KHRCT-ND,Cut Tape,0.08591140000000001,0.4295570000000001,0.4295570000000001,669595,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00738d6&sid=459&ppid=40952851&vpid=114982867&ct=offers,
3,RC0805JR-070RL,Yageo,RC0805JR-070RL,https://octopart.com/rc0805jr-070rl-yageo-55402891,R6 R13 R12,,0R,3,311-0.0ARCT-ND,1799478,,RC0805JR-070R,Cut Tape,Cut Tape,,,0.08591140000000001,83,,,5740135,8417,,86100,1,1,,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04a16aa&sid=459&ppid=55402891&vpid=188129085&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=09c9641&sid=819&ppid=55402891&vpid=190268104&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=05ae212&sid=1532&ppid=55402891&vpid=187873940&ct=offers,Digi-Key,311-0.0ARCT-ND,Cut Tape,0.08591140000000001,0.2577342,0.2577342,5740135,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=04a16aa&sid=459&ppid=55402891&vpid=188129085&ct=offers,
4,RC0603JR-0747KL,Yageo,RC0603JR-0747KL,https://octopart.com/rc0603jr-0747kl-yageo-55402890,R5 R8 R4 R7,,47k,4,311-47KGRCT-ND,1799431,,RC0603JR-0747K,Cut Tape,Cut Tape,,,0.08591140000000001,0.0531,,,1512893,10438,,174100,1,1,,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=01af689&sid=459&ppid=55402890&vpid=191366587&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=09c84f0&sid=819&ppid=55402890&vpid=190268048&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=011415d&sid=1532&ppid=55402890&vpid=187873798&ct=offers,Digi-Key,311-47KGRCT-ND,Cut Tape,0.08591140000000001,0.34364560000000005,0.34364560000000005,1512893,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=01af689&sid=459&ppid=55402890&vpid=191366587&ct=offers,
2,RC0805FR-0712RL,Yageo,RC0805FR-0712RL,https://octopart.com/rc0805fr-0712rl-yageo-42271931,R25 R28,,12R 1%,2,311-12.0CRCT-ND,9237259,,,Cut Tape,,,,0.08591140000000001,,,,383293,3076,,,1,10,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a520bb&sid=459&ppid=42271931&vpid=115141499&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=040889c&sid=819&ppid=42271931&vpid=148352143&ct=offers,,,Digi-Key,311-12.0CRCT-ND,Cut Tape,0.08591140000000001,0.17182280000000003,0.17182280000000003,383293,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a520bb&sid=459&ppid=42271931&vpid=115141499&ct=offers,
2,RMCF0805FT5R60,Stackpole Electronics,RMCF0805FT5R60,https://octopart.com/rmcf0805ft5r60-stackpole+electronics-19214245,R26 R27,,5.6R 1%,2,RMCF0805FT5R60CT-ND,,,,Cut Tape,,,,0.08591140000000001,,,,43640,,,,1,,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=01a467a&sid=459&ppid=19214245&vpid=34422387&ct=offers,,,,Digi-Key,RMCF0805FT5R60CT-ND,Cut Tape,0.08591140000000001,0.17182280000000003,0.17182280000000003,43640,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=01a467a&sid=459&ppid=19214245&vpid=34422387&ct=offers,
2,RC0603FR-0710KL,Yageo,RC0603FR-0710KL,https://octopart.com/rc0603fr-0710kl-yageo-40025538,R10 R20,,10k 1%,2,311-10.0KHRCT-ND,2133286,,RC0603FR-0710K,Cut Tape,Cut Tape,,,0.08591140000000001,54,,,7018515,281,,0,1,1,,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=03bdc7a&sid=459&ppid=40025538&vpid=114982759&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d7f7d0&sid=819&ppid=40025538&vpid=148346631&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=042702c&sid=1532&ppid=40025538&vpid=114810349&ct=offers,Digi-Key,311-10.0KHRCT-ND,Cut Tape,0.08591140000000001,0.17182280000000003,0.17182280000000003,7018515,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=03bdc7a&sid=459&ppid=40025538&vpid=114982759&ct=offers,
5,RC0603FR-0710KL,Yageo,RC0603FR-0710KL,https://octopart.com/rc0603fr-0710kl-yageo-40025538,R9 R3 R2 R11 R14,,10k,5,311-10.0KHRCT-ND,2133286,,RC0603FR-0710K,Cut Tape,Cut Tape,,,0.08591140000000001,54,,,7018515,281,,0,1,1,,100,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=03bdc7a&sid=459&ppid=40025538&vpid=114982759&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0d7f7d0&sid=819&ppid=40025538&vpid=148346631&ct=offers,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=042702c&sid=1532&ppid=40025538&vpid=114810349&ct=offers,Digi-Key,311-10.0KHRCT-ND,Cut Tape,0.08591140000000001,0.4295570000000001,0.4295570000000001,7018515,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=03bdc7a&sid=459&ppid=40025538&vpid=114982759&ct=offers,
